Genes	log2FoldChange	pvalue
LOC123330779	NA	NA
LOC123330703	NA	NA
LOC123330857	NA	NA
LOC112580886	NA	NA
LOC123330821	NA	NA
LOC123330748	NA	NA
LOC123330747	NA	NA
LOC123330714	NA	NA
LOC112580890	-1.462228591	0.716232288
LOC123330713	NA	NA
LOC123330844	0.889407529	0.799030581
LOC112580883	0.604657868	0.868645839
LOC123330843	NA	NA
LOC102411756	NA	NA
LOC112580795	NA	NA
LOC112580942	NA	NA
LOC112580797	NA	NA
LOC112580835	NA	NA
LOC112580796	NA	NA
LOC102399505	2.816603789	0.482425361
LOC102398425	NA	NA
LOC102397903	NA	NA
LOC112580884	-1.256246514	0.755843708
LOC102397582	2.222896913	0.583297934
LOC112577709	-1.11340814	0.783574824
LOC102415182	-2.991436382	0.427526015
LOC112580896	NA	NA
LOC112580858	-3.240030631	0.255056934
LOC102415612	-0.379690234	0.925863404
LOC102399561	NA	NA
LOC112580792	NA	NA
CPLX3	NA	NA
LOC123330875	0.604657868	0.868645839
LOC112580915	NA	NA
LOC123330693	-3.094322359	0.432774416
LOC112581047	NA	NA
LOC112580781	-2.94577832	0.438952419
ODF3L1	-1.11340814	0.783574824
LOC102414122	-1.649809334	0.555957669
LOC112580926	NA	NA
LOC123330718	-2.101251148	0.597680028
TRNAG-CCC_191	NA	NA
LOC112581018	NA	NA
LOC123330798	NA	NA
CHRNB4	NA	NA
CHRNA5	NA	NA
LOC112581051	3.249319242	0.414680485
LOC123330725	NA	NA
LOC123330807	NA	NA
LOC123465226	NA	NA
LOC102391395	-1.11340814	0.783574824
TRNAK-CUU_15	NA	NA
LOC123465213	NA	NA
OTUD7A	NA	NA
LOC123330716	NA	NA
LOC102397911	2.222896913	0.583297934
LOC112581060	NA	NA
LOC123330769	NA	NA
LOC123330723	NA	NA
TRNAG-GCC_57	NA	NA
LOC123330825	NA	NA
LOC123330824	4.191491166	0.195848481
LOC123330808	0.527406168	0.895754499
LOC123330813	NA	NA
LOC123330832	-3.139260274	0.290227423
TRPM1	-3.684231879	0.160847521
LOC123465202	NA	NA
LOC102399853	NA	NA
LOC112580868	0.782568776	0.755980772
LOC123465230	NA	NA
LOC123465239	NA	NA
LOC123330851	NA	NA
LOC123465224	NA	NA
TRNAG-CCC_192	NA	NA
CTXND1	NA	NA
TRNAG-CCC_193	NA	NA
TRNAC-ACA_210	NA	NA
TRNAW-CCA_154	-1.462228591	0.716232288
LOC123330802	NA	NA
LOC123330803	NA	NA
LOC123330867	NA	NA
MINAR1	NA	NA
ANKRD34C	NA	NA
LOC123465204	NA	NA
LOC123330722	NA	NA
LOC123330728	-1.256246514	0.755843708
LOC123330742	NA	NA
LOC123465225	0.308018449	0.931404681
TRNAW-CCA_155	NA	NA
SAXO2	-3.37005389	0.327006785
LOC123330721	NA	NA
TRNAS-GGA_109	NA	NA
LOC123330837	NA	NA
LOC123330881	NA	NA
LOC123330709	NA	NA
LOC123330759	NA	NA
TRNAR-UCU_20	NA	NA
LOC123465221	NA	NA
LOC123465227	NA	NA
AP3B2	NA	NA
LOC123330878	NA	NA
LOC112581022	-1.462228591	0.716232288
SLC28A1	0.384565172	0.923627104
TRNAG-UCC_133	NA	NA
LOC123330770	NA	NA
LOC102401088	1.543863118	0.705167655
TRNAG-CCC_194	-3.269237378	0.256004404
LOC102411064	1.844944513	0.531750684
LOC102408654	-0.379690234	0.925863404
MESP1	-2.055097825	0.605968813
TRNAC-GCA_217	NA	NA
PLIN1	NA	NA
LOC102403445	NA	NA
LOC112580807	NA	NA
RLBP1	NA	NA
LOC123330702	NA	NA
LOC112580948	-1.462228591	0.716232288
LOC102399673	-3.395058163	0.217969276
LOC102407899	0.889407529	0.799030581
LOC102403986	NA	NA
LOC102407074	NA	NA
LOC123465188	-0.379690234	0.925863404
LOC112577703	-0.379690234	0.925863404
LOC112580901	-2.29813064	0.562884985
LOC102407701	NA	NA
LOC102408218	NA	NA
LOC112580839	NA	NA
LOC123465214	NA	NA
LOC123465216	NA	NA
LOC123465217	NA	NA
LOC112580812	NA	NA
TRNAC-GCA_218	NA	NA
LOC123465191	NA	NA
LOC123465220	NA	NA
LOC102397433	-0.849023581	0.788762423
LOC102409337	NA	NA
LOC102404346	NA	NA
TRNAC-GCA_219	NA	NA
LOC102403696	-0.720144891	0.80073751
LOC102404246	3.611097704	0.331107999
LOC123330754	NA	NA
LOC123330820	NA	NA
TRNAG-CCC_195	NA	NA
LOC123330730	NA	NA
TRNAA-UGC_18	NA	NA
LOC112581056	NA	NA
LOC123330836	NA	NA
SV2B	-2.681662326	0.497960182
LOC123465203	NA	NA
LOC123330758	NA	NA
LOC123330856	NA	NA
LOC123330785	NA	NA
LOC123330735	NA	NA
LOC123330738	NA	NA
LOC123330733	NA	NA
ST8SIA2	NA	NA
LOC123330719	NA	NA
LOC123465197	NA	NA
LOC123330828	NA	NA
LOC123330710	NA	NA
LOC102392630	NA	NA
LOC123330801	NA	NA
LOC112580918	2.222896913	0.583297934
LOC112580904	NA	NA
TRNAS-GGA_110	NA	NA
LOC112580907	NA	NA
LOC123330724	1.543863118	0.705167655
LOC123330739	NA	NA
LOC123330778	NA	NA
LOC123330833	NA	NA
LOC123330776	NA	NA
LOC112580919	3.249319242	0.414680485
LOC123330882	NA	NA
LOC123330883	NA	NA
LOC123330800	NA	NA
LOC123330732	NA	NA
LOC123330715	NA	NA
PGPEP1L	NA	NA
LOC123330791	NA	NA
TRNAF-GAA_39	NA	NA
LOC123330757	NA	NA
LOC123330799	NA	NA
LOC112580932	-2.788109327	0.479108883
LOC102393546	-3.611297468	0.166370763
GABRG3	-0.831600004	0.828594157
TRNAC-ACA_211	NA	NA
LOC112581064	NA	NA
LOC123330707	NA	NA
LOC123330706	NA	NA
LOC123330704	NA	NA
LOC123330705	NA	NA
LOC112580923	NA	NA
LOC112581066	2.222896913	0.583297934
LOC112581027	NA	NA
LOC112580958	NA	NA
LOC112580954	NA	NA
LOC112580957	NA	NA
LOC112580953	NA	NA
LOC112580956	NA	NA
LOC112580959	NA	NA
LOC112580971	-1.462228591	0.716232288
LOC112580976	NA	NA
LOC112580968	NA	NA
LOC112580969	-0.379690234	0.925863404
LOC112580970	NA	NA
LOC112580974	NA	NA
LOC112580960	-0.379690234	0.925863404
LOC112580961	NA	NA
LOC112580962	1.854856017	0.643675608
LOC112580963	-1.11340814	0.783574824
LOC112580964	-2.575982261	0.515451378
LOC112580972	-1.11340814	0.783574824
LOC112580965	-1.256246514	0.755843708
LOC112582649	NA	NA
LOC123465199	-1.256246514	0.755843708
LOC123330972	NA	NA
LOC102397908	NA	NA
LOC123330978	-2.25446278	0.570521336
LOC112581309	NA	NA
LOC112581191	NA	NA
LOC123331014	-3.236532837	0.373767511
LOC123331050	NA	NA
LOC123331015	NA	NA
TRNAC-ACA_212	NA	NA
LOC123330969	NA	NA
TRNAG-UCC_134	NA	NA
LOC123331011	NA	NA
LOC112581302	2.089051093	0.461460935
LOC123330943	3.611097704	0.331107999
LOC123330970	2.054423476	0.481071557
LOC123331000	2.816603789	0.482425361
LOC112581304	NA	NA
LOC123331045	NA	NA
LOC112581310	NA	NA
LOC123331046	NA	NA
LOC112581200	NA	NA
LOC123465255	NA	NA
TRNAG-CCC_196	NA	NA
LOC123465267	NA	NA
LOC123330973	NA	NA
TRNAG-UCC_135	-1.462228591	0.716232288
TRNAG-UCC_136	NA	NA
TRNAR-CCU_38	NA	NA
LOC112581318	NA	NA
LOC112581289	2.816603789	0.482425361
LOC112581188	NA	NA
LOC123331008	NA	NA
LOC123330966	2.297547443	0.47036549
LOC112581300	NA	NA
TRNAE-CUC_54	NA	NA
LOC123331009	NA	NA
LOC123331006	NA	NA
LOC123331071	1.761038077	0.550594964
LOC123330980	NA	NA
TRNAK-UUU_34	NA	NA
LOC123331010	NA	NA
LOC123330959	NA	NA
LOC112581308	NA	NA
LOC123331055	NA	NA
LOC112581301	3.249319242	0.414680485
LOC123331020	-1.462228591	0.716232288
LOC123331021	1.543863118	0.705167655
LOC123331043	2.302328132	0.569462648
TRNAS-GGA_111	NA	NA
SLC22A13	NA	NA
SLC22A14	NA	NA
LOC112581295	-1.11340814	0.783574824
LOC123330925	NA	NA
TRNAC-GCA_220	NA	NA
LOC112581153	1.099615933	0.772410923
LOC102396408	-1.256246514	0.755843708
LOC112581165	-3.053625145	0.313270977
LOC102399284	3.611097704	0.331107999
LOC102398531	3.611097704	0.331107999
TRNAC-GCA_221	NA	NA
ZNF619	-2.17961087	0.58371986
LOC123330981	NA	NA
LOC123331031	-3.079015948	0.401183939
LOC112581297	NA	NA
CCK	NA	NA
LYZL4	NA	NA
LOC123331053	NA	NA
LOC102409698	2.222896913	0.583297934
LOC123331054	NA	NA
ZNF662	-1.462228591	0.716232288
TRNAG-CCC_197	NA	NA
LOC123330932	NA	NA
LOC123330933	NA	NA
LOC112581312	NA	NA
LOC112581104	0.178583512	0.964335249
LOC123330975	NA	NA
LOC123331058	NA	NA
LOC123331025	NA	NA
LOC123465257	-0.379690234	0.925863404
TRNAE-CUC_55	NA	NA
LOC112581199	0.50055861	0.835741418
TRNAE-CUC_56	-0.379690234	0.925863404
TRNAR-CCU_39	NA	NA
LOC112581224	1.261122482	0.755630334
FANCD2OS	-1.11340814	0.783574824
LOC112581212	-2.17961087	0.58371986
LOC123330931	-1.11340814	0.783574824
LOC112581296	NA	NA
LOC123330934	NA	NA
LHFPL4	3.051145545	0.385489124
TRNAE-UUC_155	NA	NA
TRNAR-ACG_23	NA	NA
TRNAG-CCC_198	-2.055097825	0.605968813
TRNAC-GCA_222	-2.29813064	0.562884985
CAV3	-1.462228591	0.716232288
LOC123331068	-1.462228591	0.716232288
TRNAG-CCC_199	NA	NA
TRNAG-CCC_200	NA	NA
LOC123330994	NA	NA
LOC112581217	NA	NA
LOC123330947	NA	NA
LOC123331065	NA	NA
LOC102411250	-1.283387217	0.662187133
LOC123331041	NA	NA
LOC112581132	-1.11340814	0.783574824
IL5RA	3.249319242	0.414680485
LOC112581311	NA	NA
LOC102406835	1.419735679	0.64521446
LOC123331040	NA	NA
TRNAC-ACA_213	NA	NA
LOC123330956	NA	NA
LOC123330958	NA	NA
LOC123330957	NA	NA
TRNAC-ACA_214	NA	NA
LOC123331063	NA	NA
LOC123331005	NA	NA
LOC123330983	NA	NA
LOC112581279	3.029208675	0.286238924
LOC123330986	NA	NA
LOC123330967	1.261122482	0.755630334
PROK2	2.222896913	0.583297934
LOC123465259	3.249319242	0.414680485
LOC112581125	2.222896913	0.583297934
TRNAW-CCA_156	-0.379690234	0.925863404
LOC112581290	NA	NA
LOC123331034	NA	NA
LOC123465260	-1.462228591	0.716232288
LOC112581276	-2.29813064	0.562884985
TRNAE-CUC_57	NA	NA
LOC112581105	-2.29813064	0.562884985
TAFA1	NA	NA
LOC123330936	NA	NA
LOC123330992	NA	NA
LOC123330927	0.978300219	0.805299384
LOC123330928	NA	NA
LOC112581315	NA	NA
LOC123330929	NA	NA
LOC123330998	NA	NA
LOC123330923	0.822534742	0.774760306
LOC112581287	2.302328132	0.569462648
TRNAC-GCA_223	NA	NA
LOC123331033	NA	NA
SNTN	-2.582485697	0.514365981
FEZF2	2.816603789	0.482425361
LOC123331037	NA	NA
LOC123330964	NA	NA
LOC112581160	NA	NA
LOC102410187	-1.462228591	0.716232288
LOC123331030	2.297064561	0.474315904
LOC112581305	NA	NA
LOC123330944	2.816603789	0.482425361
TRNAG-CCC_201	NA	NA
LOC123331051	NA	NA
TRNAE-UUC_156	NA	NA
TRNAC-ACA_215	NA	NA
LOC112581284	-1.462228591	0.716232288
LOC112581161	NA	NA
TRNAS-GGA_112	NA	NA
LRTM1	NA	NA
TRNAP-GGG_2	NA	NA
LOC112581206	2.816603789	0.482425361
LOC123331018	3.140310767	0.431196302
LOC123465245	NA	NA
TLR9	-1.256246514	0.755843708
TRNAG-CCC_202	-1.462228591	0.716232288
LOC123330939	NA	NA
LOC123330938	NA	NA
LOC102405779	NA	NA
LOC102411541	NA	NA
IQCF6	NA	NA
TRNAE-UUC_157	NA	NA
LOC102396653	-1.462228591	0.716232288
CAMKV	-1.11340814	0.783574824
LOC112581130	NA	NA
CDHR4	-1.690498551	0.67302499
LOC112581162	-0.399915505	0.920241149
TRNAG-UCC_137	-1.836484178	0.634936794
TRNAE-CUC_58	-0.379690234	0.925863404
TRNAW-CCA_158	2.816603789	0.482425361
LOC102413623	NA	NA
LOC123465246	NA	NA
LOC102413293	NA	NA
LOC112577733	NA	NA
LOC123464561	NA	NA
LOC112581107	2.302328132	0.569462648
LOC102414941	NA	NA
LOC102402381	NA	NA
LOC123330991	1.17727579	0.681814794
LOC112581291	NA	NA
LOC112581294	-2.055097825	0.605968813
TRNAW-CCA_159	-0.379690234	0.925863404
LOC112581292	-1.462228591	0.716232288
LOC112581136	4.05188076	0.136457403
PRSS42P	1.576947148	0.591041839
LOC112577782	NA	NA
LOC102398868	NA	NA
LOC102398557	NA	NA
LOC102400503	NA	NA
LOC102400172	3.839311214	0.332040655
TMIE	2.222896913	0.583297934
LOC102391941	NA	NA
TRNAY-GUA_64	NA	NA
TRNAS-GGA_113	NA	NA
CCR3	2.222896913	0.583297934
LOC112581209	NA	NA
XCR1	3.796271327	0.282773568
TRNAR-ACG_24	NA	NA
TRNAR-CCU_40	NA	NA
LOC112581152	4.05188076	0.136457403
LOC102413782	-0.294465502	0.941897269
GHRL	2.222896913	0.583297934
TRNAK-UUU_35	NA	NA
LOC112581319	NA	NA
LOC123330989	NA	NA
SLC6A11	-3.253400762	0.409029094
LOC123331007	4.05188076	0.136457403
LOC123331002	0.178583512	0.964335249
LOC123465247	NA	NA
LOC123330979	NA	NA
LOC102405390	NA	NA
LOC123465250	NA	NA
RHO	2.222896913	0.583297934
EFCAB12	-3.200833994	0.372451353
LOC123331042	-0.379690234	0.925863404
LOC123465254	NA	NA
LOC123465258	3.611097704	0.331107999
TRNAC-ACA_216	NA	NA
LOC123330940	NA	NA
LOC123330984	NA	NA
LOC123330985	NA	NA
TRNAK-UUU_36	NA	NA
DNAJB8	NA	NA
LOC123330951	-0.379690234	0.925863404
KBTBD12	-1.11340814	0.783574824
LOC112581317	0.772318069	0.845024603
LOC112581185	-2.055097825	0.605968813
PRR20G	-1.11340814	0.783574824
LOC123330961	NA	NA
LOC123330960	NA	NA
C21H3orf56	NA	NA
CHST13	-3.355396151	0.328010626
LOC112581226	3.611097704	0.331107999
LOC112581173	NA	NA
LOC123330954	NA	NA
LOC123330955	-0.531180317	0.869512086
LOC112581131	-0.089728408	0.97526145
LOC102403836	-1.462228591	0.716232288
SERPINB7	NA	NA
LOC102405134	-2.838732083	0.472552848
LOC102405462	2.222896913	0.583297934
LOC112581362	4.115292351	0.21400361
LOC123331100	2.302328132	0.569462648
LOC123331101	2.302328132	0.569462648
LOC102406016	NA	NA
LOC123465279	3.249319242	0.414680485
LOC123331102	NA	NA
SERPINB13	-1.462228591	0.716232288
TRNAE-UUC_158	NA	NA
LOC123331147	2.816603789	0.482425361
LOC123331143	NA	NA
LOC123331270	NA	NA
LOC102398327	NA	NA
LOC112581356	NA	NA
LOC123331260	0.76266452	0.786401236
LOC123331158	NA	NA
LOC123331246	-1.690498551	0.67302499
CPLX4	1.688253306	0.565404044
RAX	NA	NA
LOC123331223	NA	NA
LOC123331217	NA	NA
LOC123331175	NA	NA
LOC102393242	NA	NA
TRNAE-UUC_159	NA	NA
TRNAE-UUC_160	NA	NA
LOC123331174	NA	NA
LOC112581431	NA	NA
LOC123331238	-0.379690234	0.925863404
LOC102390942	-1.256246514	0.755843708
LOC123331161	NA	NA
LOC123331160	NA	NA
LOC112581366	NA	NA
TRNAE-CUC_59	2.130054222	0.541475891
LOC112581367	NA	NA
LOC123331166	-0.506660068	0.845216999
LOC112581484	NA	NA
LOC123331099	NA	NA
ST8SIA3	NA	NA
LOC123331244	NA	NA
LOC123331206	NA	NA
LOC123331181	NA	NA
TRNAW-CCA_160	NA	NA
LOC102400652	2.222896913	0.583297934
LOC112581374	-1.462228591	0.716232288
LOC112581474	NA	NA
LOC102401100	0.398629957	0.86835675
LOC123331134	3.981036191	0.243968166
LOC123331253	NA	NA
LOC123331252	NA	NA
LOC123331222	NA	NA
TRNAY-AUA_40	NA	NA
LOC102403707	NA	NA
LOC123331249	1.444932999	0.709186853
LOC123331219	4.221540986	0.193220195
TRNAC-GCA_224	NA	NA
LOC123331173	NA	NA
LOC123331172	-2.101251148	0.597680028
LOC123331154	NA	NA
LOC123331155	NA	NA
TRNAC-ACA_217	NA	NA
LOC123331221	NA	NA
LOC112581495	NA	NA
LOC112581496	NA	NA
LOC112581394	NA	NA
LOC123331149	-1.256246514	0.755843708
LOC112581471	NA	NA
LOC112581472	NA	NA
LOC123331164	NA	NA
LOC123331159	NA	NA
SKOR2	NA	NA
KATNAL2	-3.411567397	0.210043294
LOC112581468	NA	NA
LOC102390289	NA	NA
LOC123331129	3.249319242	0.414680485
TRNAC-GCA_225	NA	NA
RNF165	-1.690498551	0.67302499
LOC102412900	0.281976017	0.923114302
LOC112581473	NA	NA
SLC14A2	0.217136683	0.939719966
LOC123331188	NA	NA
TRNAC-GCA_226	NA	NA
TRNAY-AUA_41	NA	NA
LOC123331140	NA	NA
LOC123331165	NA	NA
MC2R	NA	NA
LOC123331254	-2.314314127	0.328419428
LOC123331255	2.222896913	0.583297934
LOC123331127	-1.462228591	0.716232288
LOC112581482	NA	NA
LOC123465281	NA	NA
LOC123331168	NA	NA
LOC102391475	NA	NA
LOC123331216	2.222896913	0.583297934
LOC123331197	2.816603789	0.482425361
LOC123331199	-1.256246514	0.755843708
LOC112581409	-1.11340814	0.783574824
LOC112581386	NA	NA
LRRC30	NA	NA
TRNAG-GCC_58	NA	NA
TRNAG-GCC_59	NA	NA
LOC123465283	NA	NA
LOC123465282	-0.379690234	0.925863404
LOC112581371	-2.780089476	0.394289052
LOC123331112	NA	NA
TRNAG-CCC_203	NA	NA
LOC123331097	-0.379690234	0.925863404
LOC123331141	NA	NA
TRNAC-GCA_227	NA	NA
LOC123331142	NA	NA
TRNAG-GCC_60	NA	NA
TRNAC-ACA_218	NA	NA
LOC123331209	NA	NA
LOC123331208	-1.462228591	0.716232288
LOC112581493	NA	NA
LOC112581385	2.302328132	0.569462648
LOC112581478	NA	NA
LOC112581498	NA	NA
LOC112581497	NA	NA
LOC112581375	NA	NA
LOC123331224	NA	NA
LOC112581470	NA	NA
LOC123331133	-2.503461387	0.527633507
TRNAE-UUC_161	NA	NA
CLUL1	NA	NA
CETN1	NA	NA
TRNAG-CCC_204	2.640930701	0.387238058
LOC102398480	NA	NA
LOC112581481	-1.462228591	0.716232288
TRNAC-ACA_219	-3.276391305	0.246958858
LOC112581432	0.582090446	0.886564479
LOC123331139	NA	NA
LOC123331138	NA	NA
LOC123331214	-1.11340814	0.783574824
LOC123331176	-1.11340814	0.783574824
TRNAW-CCA_161	-2.055097825	0.605968813
LOC123331218	NA	NA
LOC123331256	-1.11340814	0.783574824
LOC112581480	-1.462228591	0.716232288
HRH4	NA	NA
LOC123331185	-1.256246514	0.755843708
LOC123331186	NA	NA
LOC123331150	NA	NA
LOC123331151	-1.462228591	0.716232288
TRNAW-CCA_162	NA	NA
LOC123331233	-0.379690234	0.925863404
TRNAC-GCA_229	NA	NA
PSMA8	NA	NA
LOC102416601	NA	NA
AQP4	-3.200833994	0.372451353
LOC123331137	NA	NA
LOC123331136	NA	NA
TRNAW-CCA_163	NA	NA
LOC112581464	NA	NA
TRNAC-ACA_220	NA	NA
LOC123331250	NA	NA
TRNAC-ACA_221	NA	NA
LOC123331243	NA	NA
TRNAG-GCC_61	NA	NA
TTR	-11.0193929	NA
LOC123331144	NA	NA
TRNAG-ACC_9	NA	NA
LOC123331237	NA	NA
KLHL14	NA	NA
LOC123465287	NA	NA
CCDC178	-6.627314659	NA
LOC102394927	-1.462228591	0.716232288
NOL4	3.249319242	0.414680485
LOC123331107	-1.462228591	0.716232288
LOC123331191	3.249319242	0.414680485
LOC123331230	4.246712121	0.180217455
LOC102391753	3.611097704	0.331107999
LOC123331226	NA	NA
LOC123465288	NA	NA
TRNAC-ACA_222	NA	NA
LOC123465280	2.222896913	0.583297934
LOC123331215	NA	NA
LOC123331145	NA	NA
LOC112581397	-1.11340814	0.783574824
TRNAG-CCC_205	NA	NA
LOC123465293	NA	NA
TRNAE-UUC_162	-0.379690234	0.925863404
LOC112581475	NA	NA
LOC123331225	2.222896913	0.583297934
LOC123331120	NA	NA
LOC123331116	NA	NA
LOC123331117	NA	NA
LOC123331118	NA	NA
LOC123331119	NA	NA
LOC123331128	NA	NA
LOC123331182	NA	NA
LOC112581476	NA	NA
LOC123331153	NA	NA
TRNAC-GCA_230	NA	NA
LOC123331184	NA	NA
TRNAW-CCA_164	1.543863118	0.705167655
LOC112581486	NA	NA
SYT4	NA	NA
TRNAK-UUU_37	4.232799391	0.103774456
LOC123331121	NA	NA
LOC123331183	NA	NA
CDH19	-2.838732083	0.472552848
LOC123331171	NA	NA
LOC123331178	NA	NA
TRNAS-GGA_114	NA	NA
LOC102401271	NA	NA
TRNAG-GCC_62	NA	NA
LOC123465284	NA	NA
LOC123331200	NA	NA
LOC123331156	NA	NA
LOC123331157	NA	NA
LOC123331267	NA	NA
LOC123331248	-2.47429368	0.532573403
TRNAC-ACA_224	NA	NA
LOC123331130	-0.379690234	0.925863404
LOC112581469	NA	NA
LOC123331177	NA	NA
CBLN2	NA	NA
NETO1	3.249319242	0.414680485
LOC102389804	NA	NA
TRNAA-CGC_9	NA	NA
LOC123331170	NA	NA
LOC102415598	-1.11340814	0.783574824
LOC123331180	NA	NA
LOC112581448	-1.462228591	0.716232288
TRNAG-CCC_206	NA	NA
LOC123331169	NA	NA
LOC123331242	NA	NA
LOC102399347	NA	NA
LOC112581391	NA	NA
LOC112581492	NA	NA
LOC123331152	-1.820541788	0.648805392
LOC112581408	1.964741759	0.487259405
LOC112581407	2.302328132	0.569462648
TRNAG-GCC_63	NA	NA
LOC123331212	NA	NA
LOC123331241	NA	NA
SALL3	0.028496709	0.993436382
LOC112581477	-2.844515194	0.369051615
LOC102415370	NA	NA
LOC102411305	NA	NA
LOC102414677	NA	NA
LOC112581403	NA	NA
LOC102415683	NA	NA
LOC123331195	-1.11340814	0.783574824
LOC123465303	-0.379690234	0.925863404
LOC123327543	NA	NA
LOC123331459	NA	NA
LOC112581649	1.543863118	0.705167655
LOC102415923	NA	NA
LOC112577688	NA	NA
LOC102416574	NA	NA
LOC123331465	NA	NA
LOC123331389	3.249319242	0.414680485
TRNAC-ACA_225	NA	NA
LOC123465310	NA	NA
LOC123465309	NA	NA
LOC123331351	3.249319242	0.414680485
LOC123331397	NA	NA
LOC112581671	NA	NA
LOC112581682	NA	NA
TRNAW-CCA_165	NA	NA
TRNAC-ACA_226	NA	NA
MBL2	-1.462228591	0.716232288
TRNAK-CUU_16	NA	NA
LOC112581667	NA	NA
LOC123331424	2.733119264	0.49614758
LOC112581668	NA	NA
LOC102403407	1.121138638	0.778325157
LOC112581638	NA	NA
LOC123331365	NA	NA
TRNAC-ACA_227	-2.055097825	0.605968813
LOC112581626	1.761038077	0.550594964
LOC123331376	NA	NA
LOC102405918	NA	NA
LOC112581612	NA	NA
LOC123331402	NA	NA
LOC102405396	NA	NA
LOC123331329	NA	NA
LIPF	NA	NA
LIPK	-0.379690234	0.925863404
LIPN	-1.256246514	0.755843708
LOC123331394	4.191491166	0.195848481
LOC123331429	-1.11340814	0.783574824
LOC123331428	0.582090446	0.886564479
LOC102412059	NA	NA
LOC112581585	NA	NA
LOC123331316	NA	NA
LOC123331369	NA	NA
TRNAC-GCA_231	NA	NA
LOC123331317	NA	NA
LOC123331334	NA	NA
LOC123331337	NA	NA
LOC123331336	NA	NA
LOC112581677	NA	NA
LOC123331335	NA	NA
LOC123331419	NA	NA
LOC123331360	NA	NA
LOC123331422	NA	NA
LOC123331423	NA	NA
LOC123331356	NA	NA
LOC123331357	NA	NA
TRNAG-CCC_207	-0.379690234	0.925863404
TRNAP-GGG_3	-1.462228591	0.716232288
LOC112581555	NA	NA
TRNAE-UUC_163	3.140310767	0.431196302
LOC123331338	NA	NA
LOC112581634	1.576947148	0.591041839
LOC123331449	NA	NA
LOC112581675	NA	NA
LOC102411307	-1.11340814	0.783574824
LOC112581674	NA	NA
TRNAG-CCC_208	NA	NA
LOC123465317	3.249319242	0.414680485
TRNAE-UUC_164	NA	NA
LOC112581673	NA	NA
LOC102401059	3.249319242	0.414680485
TRNAS-GGA_115	NA	NA
LOC102396619	-1.462228591	0.716232288
LOC112581525	NA	NA
LOC102401347	NA	NA
LOC102392701	-1.256246514	0.755843708
LOC102391944	NA	NA
LOC112581647	1.498890309	0.635615624
LOC123331434	-1.256246514	0.755843708
DNTT	NA	NA
OPALIN	NA	NA
TLL2	NA	NA
LOC123331344	-1.690498551	0.67302499
SLIT1	NA	NA
LOC102402597	-3.063566139	0.437455996
LOC112581685	NA	NA
LOC112581681	1.887892093	0.523695122
C23H10orf62	2.991173371	0.454399412
LOC112581664	1.576947148	0.591041839
LOC102393616	NA	NA
TRNAE-UUC_165	NA	NA
LOC123331313	NA	NA
LOC112581690	NA	NA
LOC112581663	NA	NA
TRNAG-GCC_64	-1.914677582	0.631475794
LOC102398418	0.889407529	0.799030581
LOC112581672	NA	NA
LOC123331368	NA	NA
LOC102389524	NA	NA
LOC112581528	NA	NA
PAX2	-1.462228591	0.716232288
TRNAG-UCC_139	NA	NA
LOC123331447	NA	NA
TLX1	NA	NA
LOC112581661	2.222896913	0.583297934
LOC112581589	NA	NA
LOC102401379	-2.516854547	0.468513458
TRNAE-UUC_166	-1.11340814	0.783574824
LOC123331421	NA	NA
FGF8	NA	NA
LOC112581678	NA	NA
TRNAR-CCU_41	NA	NA
ELOVL3	NA	NA
LOC123331472	-1.462228591	0.716232288
LOC112581534	-1.335206953	0.695036316
LOC123331309	1.121138638	0.778325157
LOC123331319	-1.820541788	0.648805392
LOC112581659	NA	NA
CALHM1	NA	NA
CALHM3	2.816603789	0.482425361
LOC123331354	0.466676981	0.897258352
TRNAE-UUC_167	NA	NA
LOC112581560	NA	NA
GSTO2	0.97577639	0.74481622
CFAP58	-1.11340814	0.783574824
TRNAR-GCG_11	NA	NA
LOC123331364	NA	NA
LOC123331314	3.249319242	0.414680485
LOC123465304	1.543863118	0.705167655
LOC123465305	NA	NA
TRNAA-AGC_27	NA	NA
LOC123465306	NA	NA
LOC123331390	-2.055097825	0.605968813
SORCS1	3.796271327	0.282773568
TRNAW-CCA_166	NA	NA
TRNAW-CCA_167	NA	NA
LOC123331352	NA	NA
LOC123331367	NA	NA
TRNAG-UCC_140	NA	NA
TRNAW-CCA_168	NA	NA
LOC112581595	NA	NA
LOC123331378	2.222896913	0.583297934
LOC123331392	NA	NA
LOC102410981	-2.17961087	0.58371986
LOC123331380	0.889407529	0.799030581
LOC102401009	1.887892093	0.523695122
LOC112581658	2.222896913	0.583297934
LOC123331442	NA	NA
LOC112581557	NA	NA
LOC123331331	NA	NA
LOC112581584	NA	NA
LOC123331323	NA	NA
LOC123331347	NA	NA
TRNAG-CCC_209	NA	NA
LOC123465316	NA	NA
LOC123331349	NA	NA
LOC123331386	2.816603789	0.482425361
LOC123331417	NA	NA
LOC123331415	NA	NA
LOC123331330	NA	NA
LOC123331418	NA	NA
HABP2	-1.256246514	0.755843708
TRNAG-CCC_210	-1.462228591	0.716232288
LOC112581552	-3.337841622	0.332205701
LOC123331475	-1.462228591	0.716232288
TRNAF-GAA_40	-2.055097825	0.605968813
LOC123331435	1.887892093	0.523695122
LOC123331312	NA	NA
TRNAF-GAA_41	NA	NA
TRNAW-CCA_169	NA	NA
LOC123331366	NA	NA
